"Местное время в Красноярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.07.2023 19:00";"25.4";"740.4";"756.2";"";"46";"Ветер, дующий с запада";"3";"";"10";"";" ";"";"";"";"28.2";"";"";"";"";"";"";"12.8";"Осадков нет";"12";"";"";"";"";
"11.07.2023 13:00";"26.4";"740.3";"756.1";"";"35";"Ветер, дующий с западо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"11.07.2023 07:00";"18.9";"741.0";"757.2";"";"76";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"17.2";"";"";"";"";"";"";"";"14.6";"Осадков нет";"12";"";"";"";"";
"11.07.2023 01:00";"18.9";"740.2";"756.4";"";"79";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"10.07.2023 19:00";"26.6";"738.6";"754.3";"";"45";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"27.4";"";"";"";"";"";"";"13.7";"0.8";"12";"";"";"";"";
"10.07.2023 13:00";"24.1";"738.6";"754.4";"";"55";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"";"";"";"";"";"";
"10.07.2023 07:00";"19.3";"738.6";"754.6";"";"84";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"18.0";"";"";"";"";"";"";"";"16.6";"Осадков нет";"12";"";"";"";"";
"10.07.2023 01:00";"19.3";"737.8";"753.9";"";"88";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.3";"";"";"";"";"";"";
"09.07.2023 19:00";"23.6";"737.2";"753.1";"";"68";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"27.4";"";"";"";"";"";"";"17.3";"0.3";"12";"";"";"";"";
"09.07.2023 13:00";"23.5";"737.8";"753.7";"";"64";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"09.07.2023 07:00";"18.5";"737.8";"754.0";"";"89";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"17.7";"";"";"";"";"";"";"";"16.7";"Осадков нет";"12";"";"";"";"";
"09.07.2023 01:00";"20.3";"737.2";"753.1";"";"82";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"08.07.2023 19:00";"29.4";"736.8";"752.3";"";"42";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"30.4";"";"";"";"";"";"";"15.2";"Осадков нет";"12";"";"";"";"";
"08.07.2023 13:00";"25.8";"737.8";"753.5";"";"52";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"08.07.2023 07:00";"20.3";"737.5";"753.6";"";"74";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"18.1";"";"";"";"";"";"";"";"15.5";"Осадков нет";"12";"";"";"";"";
"08.07.2023 01:00";"22.3";"738.0";"753.9";"";"63";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"07.07.2023 19:00";"30.0";"738.4";"753.9";"";"34";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";" ";"";"";"";"34.3";"";"";"";"";"";"";"12.6";"Осадков нет";"12";"";"";"";"";
"07.07.2023 13:00";"28.9";"739.3";"754.9";"";"40";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"07.07.2023 07:00";"18.3";"740.9";"757.1";"";"77";"Штиль, безветрие";"0";"";"";"";" ";"";"";"16.6";"";"";"";"";"";"";"";"14.2";"Осадков нет";"12";"";"";"";"";
"07.07.2023 01:00";"20.6";"740.5";"756.6";"";"66";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"06.07.2023 19:00";"30.3";"739.6";"755.2";"";"34";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"32.8";"";"";"";"";"";"";"12.8";"Осадков нет";"12";"";"";"";"";
"06.07.2023 13:00";"28.4";"740.6";"756.3";"";"38";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"06.07.2023 07:00";"17.0";"741.3";"757.6";"";"76";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"15.7";"";"";"";"";"";"";"";"12.7";"Осадков нет";"12";"";"";"";"";
"06.07.2023 01:00";"19.4";"740.7";"756.8";"";"66";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"05.07.2023 19:00";"31.2";"739.6";"755.1";"";"27";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"32.0";"";"";"";"";"";"";"10.1";"Осадков нет";"12";"";"";"";"";
"05.07.2023 13:00";"26.8";"740.3";"756.1";"";"33";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"05.07.2023 07:00";"16.7";"741.1";"757.4";"";"78";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"14.7";"";"";"";"";"";"";"";"12.9";"Осадков нет";"12";"";"";"";"";
"05.07.2023 01:00";"17.6";"740.9";"757.2";"";"76";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"04.07.2023 19:00";"23.9";"741.1";"757.0";"";"49";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"26.0";"";"";"";"";"";"";"12.6";"Осадков нет";"12";"";"";"";"";
"03.07.2023 19:00";"20.5";"743.5";"759.7";"";"55";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"25.2";"";"";"";"";"";"";"11.0";"0.5";"12";"";"";"";"";
"03.07.2023 13:00";"22.7";"743.8";"759.8";"";"35";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"03.07.2023 07:00";"11.4";"745.1";"761.8";"";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"10.3";"";"";"";"";"";"";"";"9.2";"Осадков нет";"12";"";"";"";"";
"03.07.2023 01:00";"13.1";"744.9";"761.5";"";"87";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"02.07.2023 19:00";"20.0";"744.4";"760.6";"";"54";"Ветер, дующий с юго-юго-востока";"1";"";"11";"";" ";"";"";"";"23.3";"";"";"";"";"";"";"10.5";"Осадков нет";"12";"";"";"";"";
"02.07.2023 13:00";"18.9";"744.2";"760.5";"";"61";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"02.07.2023 07:00";"13.1";"744.1";"760.6";"";"85";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"11.5";"";"";"";"";"";"";"";"10.6";"Осадков нет";"12";"";"";"";"";
"02.07.2023 01:00";"14.0";"742.3";"758.8";"";"84";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"01.07.2023 19:00";"19.8";"740.2";"756.4";"";"56";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"23.5";"";"";"";"";"";"";"10.7";"2.0";"12";"";"";"";"";
"01.07.2023 13:00";"21.3";"738.6";"754.6";"";"52";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"01.07.2023 07:00";"15.3";"738.6";"754.9";"";"75";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"13.1";"";"";"";"";"";"";"";"10.9";"Осадков нет";"12";"";"";"";"";
"01.07.2023 01:00";"16.2";"738.1";"754.4";"";"73";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"30.06.2023 13:00";"19.4";"739.0";"755.2";"";"57";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"30.06.2023 07:00";"15.5";"738.5";"754.9";"";"75";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"15.0";"";"";"";"";"";"";"";"11.0";"Осадков нет";"12";"";"";"";"";
"30.06.2023 01:00";"15.6";"737.4";"753.7";"";"76";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"29.06.2023 19:00";"21.9";"735.1";"751.0";"";"45";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"25.8";"";"";"";"";"";"";"9.3";"Осадков нет";"12";"";"";"";"";
"29.06.2023 13:00";"24.6";"734.2";"750.0";"";"35";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2023 07:00";"16.4";"734.9";"751.0";"";"83";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"16.0";"";"";"";"";"";"";"";"13.5";"1.0";"12";"";"";"";"";
"29.06.2023 01:00";"17.6";"734.0";"750.1";"";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"28.06.2023 19:00";"28.3";"731.7";"747.2";"";"31";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"31.6";"";"";"";"";"";"";"9.4";"Осадков нет";"12";"";"";"";"";
"28.06.2023 13:00";"26.0";"732.9";"748.5";"";"32";"Ветер, дующий с востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2023 07:00";"14.4";"735.7";"752.0";"";"65";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"13.0";"";"";"";"";"";"";"";"7.9";"Осадков нет";"12";"";"";"";"";
"28.06.2023 01:00";"16.1";"737.6";"754.0";"";"57";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"27.06.2023 19:00";"24.9";"739.1";"754.9";"";"33";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"26.3";"";"";"";"";"";"";"7.5";"Осадков нет";"12";"";"";"";"";
"27.06.2023 13:00";"20.3";"740.5";"756.6";"";"40";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"27.06.2023 07:00";"11.2";"741.8";"758.5";"";"91";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"9.9";"";"";"";"";"";"";"";"9.7";"2.0";"12";"";"";"";"";
"27.06.2023 01:00";"12.4";"742.2";"758.8";"";"96";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"26.06.2023 19:00";"17.8";"742.0";"758.2";"";"50";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"22.9";"";"";"";"";"";"";"7.2";"Осадков нет";"12";"";"";"";"";
"26.06.2023 07:00";"12.7";"742.3";"758.9";"";"76";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"11.0";"";"";"";"";"";"";"";"8.5";"Осадков нет";"12";"";"";"";"";
"26.06.2023 01:00";"11.7";"741.9";"758.5";"";"89";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"25.06.2023 19:00";"13.8";"742.0";"758.5";"";"74";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"14.3";"";"";"";"";"";"";"9.2";"1.0";"12";"";"";"";"";
"25.06.2023 13:00";"13.7";"739.6";"756.1";"";"81";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"25.06.2023 07:00";"13.1";"737.4";"753.8";"";"97";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"12.8";"";"";"";"";"";"";"";"12.6";"2.0";"12";"";"";"";"";
"25.06.2023 01:00";"15.8";"736.3";"752.6";"";"68";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"24.06.2023 19:00";"24.5";"737.5";"753.3";"";"39";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"25.9";"";"";"";"";"";"";"9.6";"Осадков нет";"12";"";"";"";"";
"24.06.2023 13:00";"19.2";"739.3";"755.5";"";"56";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"24.06.2023 07:00";"10.4";"741.1";"757.8";"";"91";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"9.3";"";"";"";"";"";"";"";"9.0";"3.0";"12";"";"";"";"";
"24.06.2023 01:00";"11.1";"741.0";"757.6";"";"97";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"23.06.2023 19:00";"14.9";"740.2";"756.6";"";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"3.0";"12";"";"";"";"";
"23.06.2023 13:00";"15.5";"739.6";"756.0";"";"73";"Ветер, дующий с юго-юго-запада";"1";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"23.06.2023 07:00";"12.8";"739.3";"755.8";"";"89";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"11.1";"";"";"";"";"";"";"";"11.0";"Осадков нет";"12";"";"";"";"";
"23.06.2023 01:00";"13.6";"738.2";"754.6";"";"88";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"22.06.2023 19:00";"19.5";"737.5";"753.6";"";"63";"Ветер, дующий с юга";"1";"";"10";"";" ";"";"";"";"27.1";"";"";"";"";"";"";"12.3";"1.0";"12";"";"";"";"";
"22.06.2023 13:00";"23.4";"736.6";"752.4";"";"46";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"22.06.2023 07:00";"15.4";"737.1";"753.4";"";"93";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"14.6";"";"";"";"";"";"";"";"14.3";"Осадков нет";"12";"";"";"";"";
"22.06.2023 01:00";"15.2";"736.6";"752.9";"";"94";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"21.06.2023 19:00";"16.1";"736.7";"752.9";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"27.6";"";"";"";"";"";"";"15.3";"14.0";"12";"";"";"";"";
"21.06.2023 13:00";"23.4";"737.3";"753.2";"";"41";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"21.06.2023 07:00";"20.3";"737.4";"753.4";"";"58";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"19.2";"";"";"";"";"";"";"";"11.8";"0.5";"12";"";"";"";"";
"21.06.2023 01:00";"21.9";"733.9";"749.8";"";"65";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"20.06.2023 19:00";"28.4";"730.6";"746.1";"";"40";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"32.7";"";"";"";"";"";"";"13.7";"Осадков нет";"12";"";"";"";"";
"20.06.2023 13:00";"26.4";"732.2";"747.8";"";"45";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"20.06.2023 07:00";"13.3";"734.5";"751.0";"";"70";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"10.5";"";"";"";"";"";"";"";"7.8";"Осадков нет";"12";"";"";"";"";
"20.06.2023 01:00";"13.2";"736.5";"752.9";"";"65";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"19.06.2023 19:00";"22.4";"737.6";"753.6";"";"34";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"24.8";"";"";"";"";"";"";"5.6";"Осадков нет";"12";"";"";"";"";
"19.06.2023 13:00";"19.7";"739.0";"755.1";"";"40";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"19.06.2023 07:00";"14.3";"738.7";"755.1";"";"81";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"14.0";"";"";"";"";"";"";"";"11.1";"3.0";"12";"";"";"";"";
"18.06.2023 19:00";"17.7";"736.1";"752.2";"";"84";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"27.9";"";"";"";"";"";"";"14.9";"2.0";"12";"";"";"";"";
"18.06.2023 13:00";"25.2";"735.3";"751.0";"";"35";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"18.06.2023 07:00";"15.3";"736.3";"752.6";"";"69";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"13.6";"";"";"";"";"";"";"";"9.7";"Осадков нет";"12";"";"";"";"";
"18.06.2023 01:00";"17.8";"736.6";"752.7";"";"58";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"17.06.2023 19:00";"27.4";"737.4";"753.1";"";"30";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"28.0";"";"";"";"";"";"";"8.3";"Осадков нет";"12";"";"";"";"";
"17.06.2023 13:00";"25.2";"738.4";"754.2";"";"29";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"17.06.2023 07:00";"13.0";"739.1";"755.6";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"11.5";"";"";"";"";"";"";"";"8.9";"Осадков нет";"12";"";"";"";"";
"17.06.2023 01:00";"14.8";"739.5";"755.9";"";"64";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"16.06.2023 19:00";"21.8";"738.6";"754.6";"";"52";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"24.5";"";"";"";"";"";"";"11.6";"4.0";"12";"";"";"";"";
"16.06.2023 13:00";"22.0";"738.1";"754.0";"";"40";"Ветер, дующий с юго-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"16.06.2023 07:00";"14.4";"737.8";"754.3";"";"53";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"11.8";"";"";"";"";"";"";"";"5.0";"Осадков нет";"12";"";"";"";"";
"16.06.2023 01:00";"15.5";"738.7";"755.0";"";"48";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"15.06.2023 19:00";"21.5";"739.9";"756.0";"";"31";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"22.6";"";"";"";"";"";"";"3.7";"Осадков нет";"12";"";"";"";"";
"15.06.2023 13:00";"18.6";"743.0";"759.4";"";"37";"Ветер, дующий с юго-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"15.06.2023 07:00";"9.2";"745.1";"762.0";"";"71";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"5.0";"";"";"";"";"";"";"";"4.2";"Осадков нет";"12";"";"";"";"";
"15.06.2023 01:00";"6.8";"745.9";"762.9";"";"79";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"14.06.2023 19:00";"14.7";"744.7";"761.2";"";"34";"Ветер, дующий с западо-северо-запада";"2";"";"11";"";" ";"";"";"";"16.4";"";"";"";"";"";"";"-0.9";"0.5";"12";"";"";"";"";
"14.06.2023 13:00";"13.3";"742.3";"758.9";"";"57";"Ветер, дующий с северо-запада";"3";"10";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"14.06.2023 07:00";"9.2";"741.1";"757.9";"";"90";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"9.1";"";"";"";"";"";"";"";"7.7";"5.0";"12";"";"";"";"";
"14.06.2023 01:00";"14.0";"740.9";"757.4";"";"56";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"13.06.2023 19:00";"18.4";"741.9";"758.2";"";"46";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"20.2";"";"";"";"";"";"";"6.5";"Осадков нет";"12";"";"";"";"";
"13.06.2023 13:00";"17.5";"744.1";"760.5";"";"62";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"13.06.2023 07:00";"13.2";"744.1";"760.6";"";"73";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"11.1";"";"";"";"";"";"";"";"8.5";"Осадков нет";"12";"";"";"";"";
"13.06.2023 01:00";"14.0";"744.1";"760.7";"";"65";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"12.06.2023 19:00";"17.7";"744.7";"761.1";"";"42";"Ветер, дующий с востоко-юго-востока";"1";"";"";"";" ";"";"";"";"23.1";"";"";"";"";"";"";"4.5";"Осадков нет";"12";"";"";"";"";
"12.06.2023 13:00";"18.9";"745.0";"761.4";"";"35";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"12.06.2023 07:00";"9.8";"747.8";"764.7";"";"71";"Штиль, безветрие";"0";"";"";"";" ";"";"";"8.4";"";"";"";"";"";"";"";"4.8";"Осадков нет";"12";"";"";"";"";
"12.06.2023 01:00";"12.3";"749.3";"766.1";"";"54";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"11.06.2023 19:00";"21.7";"748.1";"764.4";"";"25";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"24.0";"";"";"";"";"";"";"0.9";"Осадков нет";"12";"";"";"";"";
"11.06.2023 13:00";"18.5";"748.1";"764.5";"";"32";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"11.06.2023 07:00";"13.1";"746.6";"763.3";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"12.7";"";"";"";"";"";"";"";"8.6";"Осадков нет";"12";"";"";"";"";
"11.06.2023 01:00";"13.9";"744.0";"760.6";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"10.06.2023 19:00";"16.0";"741.4";"757.8";"";"87";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"19.6";"";"";"";"";"";"";"13.8";"4.0";"12";"";"";"";"";
"10.06.2023 13:00";"19.2";"740.7";"756.9";"";"70";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"10.06.2023 07:00";"18.4";"740.2";"756.4";"";"75";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"18.4";"";"";"";"";"";"";"";"13.9";"2.0";"12";"";"";"";"";
"10.06.2023 01:00";"24.3";"737.6";"753.4";"";"53";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"09.06.2023 19:00";"33.2";"735.2";"750.5";"";"27";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"36.5";"";"";"";"";"";"";"11.5";"Осадков нет";"12";"";"";"";"";
"09.06.2023 13:00";"31.5";"736.9";"752.4";"";"33";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"09.06.2023 07:00";"23.3";"738.4";"754.3";"";"59";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"22.4";"";"";"";"";"";"";"";"14.7";"Осадков нет";"12";"";"";"";"";
"09.06.2023 01:00";"24.6";"738.3";"754.1";"";"50";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"08.06.2023 19:00";"34.2";"738.1";"753.4";"";"22";"Ветер, дующий с западо-северо-запада";"1";"";"";"";" ";"";"";"";"37.2";"";"";"";"";"";"";"9.6";"2.0";"12";"";"";"";"";
"08.06.2023 13:00";"29.6";"739.2";"754.7";"";"51";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"";"";"";"";"";"";
"08.06.2023 07:00";"18.8";"739.6";"755.7";"";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"17.8";"";"";"";"";"";"";"";"15.0";"Осадков нет";"12";"";"";"";"";
"07.06.2023 19:00";"30.3";"740.9";"756.5";"";"43";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"34.4";"";"";"";"";"";"";"16.5";"Осадков нет";"12";"";"";"";"";
"07.06.2023 13:00";"31.4";"742.1";"757.6";"";"42";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"";"";"";"";"";"";
"07.06.2023 07:00";"18.0";"743.1";"759.4";"";"82";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"16.6";"";"";"";"";"";"";"";"14.9";"Осадков нет";"12";"";"";"";"";
"07.06.2023 01:00";"19.0";"742.1";"758.3";"";"80";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"06.06.2023 19:00";"19.3";"744.0";"760.2";"";"95";"Ветер, дующий с юга";"2";"";"10";"";" ";"";"";"";"34.2";"";"";"";"";"";"";"18.4";"9.0";"12";"";"";"";"";
"06.06.2023 13:00";"30.6";"742.9";"758.6";"";"30";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
